id,first_name,last_name,password,position,salary,role
1,amir,bernstein,12345678,teacher,10,teacher
2,hen,biton,12345678,admin,10,admin
3,amira,bernsdtein,12345678,teacher,10,teacher
4,amira,bernsdtein,12345678,teacher,10,teacher
5,amira,bernsdtein,12345678,teacher,10,teacher
6,amira,bernsdtein,12345678,teacher,10,teacher
7,amira,bernsdtein,12345678,teacher,10,teacher
8,amira,bernsdtein,12345678,teacher,10,teacher
11,amira,bernsdtein,12345678,teacher,10,teacher
14,Alex,ber,12345678,student,10,student
15,Jon,tek,423,teacher,Na,teacher
